"id","title","authors","price","rating","link"
133,"Data-Driven Engineering Design","Ang Liu, Yuchen Wang, Xingzhi Wang","Not Available","No Rating","https://play.google.com/store/books/details?id=glJHEAAAQBAJ&source=gbs_api"
134,"Intelligent Data Engineering and Automated Learning – IDEAL 2020","Cesar Analide, Paulo Novais, David Camacho, Hujun Yin","Not Available","No Rating","https://play.google.com/store/books/details?id=NScGEAAAQBAJ&source=gbs_api"
135,"Perspectives on Data Science for Software Engineering","Tim Menzies, Laurie Williams, Thomas Zimmermann","Not Available","5","https://play.google.com/store/books/details?id=Kc7nCQAAQBAJ&source=gbs_api"
136,"Big Data Analytics in Traffic and Transportation Engineering: Emerging Research and Opportunities","Moridpour, Sara, Toran Pour, Alireza, Saghapour, Tayebeh","Not Available","No Rating","https://play.google.com/store/books/details?id=MvGCDwAAQBAJ&source=gbs_api"
137,"Data Engineering and Intelligent Computing","Suresh Chandra Satapathy, Vikrant Bhateja, K. Srujan Raju, B. Janakiramaiah","Not Available","No Rating","https://play.google.com/store/books/details?id=niYmDwAAQBAJ&source=gbs_api"
138,"Data-Driven Engineering Design","Ang Liu, Yuchen Wang, Xingzhi Wang","Not Available","No Rating","https://play.google.com/store/books/details?id=glJHEAAAQBAJ&source=gbs_api"
139,"Proceedings of the International Conference on Data Engineering and Communication Technology","Suresh Chandra Satapathy, Vikrant Bhateja, Amit Joshi","Not Available","5","https://play.google.com/store/books/details?id=e7_mDAAAQBAJ&source=gbs_api"
140,"Advanced Data Analysis and Modelling in Chemical Engineering","Denis Constales, Gregory S. Yablonsky, Dagmar R. D'hooge, Joris W. Thybaut, Guy B. Marin","Not Available","No Rating","https://play.google.com/store/books/details?id=IQ6dBAAAQBAJ&source=gbs_api"
141,"Data Science from Scratch","Joel Grus","Not Available","5","http://books.google.co.in/books?id=24kdCAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
142,"Data Engineering and Intelligent Computing","Suresh Chandra Satapathy, Vikrant Bhateja, K. Srujan Raju, B. Janakiramaiah","Not Available","No Rating","https://play.google.com/store/books/details?id=niYmDwAAQBAJ&source=gbs_api"
